new_ph_name,net_amtc,store,dept,work_date,type_yr
01 Luxuries,274888,02 Store B,Dept 1,2015/04/26,This Year
01 Luxuries,84419,02 Store B,Dept 1,2015/04/27,This Year
01 Luxuries,112593,02 Store B,Dept 1,2015/04/28,This Year
01 Luxuries,138439,02 Store B,Dept 1,2015/04/29,This Year
01 Luxuries,112156,02 Store B,Dept 1,2015/04/30,This Year
01 Luxuries,165446,02 Store B,Dept 1,2015/05/01,This Year
01 Luxuries,251365,02 Store B,Dept 1,2015/05/02,This Year
01 Luxuries,240360,02 Store B,Dept 1,2015/05/03,This Year
01 Luxuries,80866,02 Store B,Dept 1,2015/05/04,This Year
01 Luxuries,127731,02 Store B,Dept 1,2015/05/05,This Year
01 Luxuries,229380,02 Store B,Dept 1,2015/05/06,This Year
01 Luxuries,227673,02 Store B,Dept 1,2015/05/07,This Year
01 Luxuries,328520,02 Store B,Dept 1,2015/05/08,This Year
01 Luxuries,331187,02 Store B,Dept 1,2015/05/09,This Year
01 Luxuries,230253,02 Store B,Dept 1,2015/05/10,This Year
01 Luxuries,63600,02 Store B,Dept 1,2015/05/11,This Year
01 Luxuries,36385,02 Store B,Dept 1,2015/05/12,This Year
01 Luxuries,65332,02 Store B,Dept 1,2015/05/13,This Year
01 Luxuries,165690,02 Store B,Dept 1,2015/05/14,This Year
01 Luxuries,112216,02 Store B,Dept 1,2015/05/15,This Year
01 Luxuries,105179,02 Store B,Dept 1,2015/05/16,This Year
01 Luxuries,83147,02 Store B,Dept 1,2015/05/17,This Year
01 Luxuries,86989,02 Store B,Dept 1,2015/05/18,This Year
01 Luxuries,83096,02 Store B,Dept 1,2015/05/19,This Year
01 Luxuries,35546,02 Store B,Dept 1,2015/05/20,This Year
01 Luxuries,33928,02 Store B,Dept 1,2015/05/21,This Year
01 Luxuries,116374,02 Store B,Dept 1,2015/05/22,This Year
01 Luxuries,88697,02 Store B,Dept 1,2015/05/23,This Year
01 Luxuries,112953,02 Store B,Dept 1,2015/05/24,This Year
01 Luxuries,54121,02 Store B,Dept 1,2015/05/25,This Year
01 Luxuries,120977,02 Store B,Dept 1,2015/05/26,This Year
01 Luxuries,288567,02 Store B,Dept 1,2015/05/27,This Year
01 Luxuries,365017,02 Store B,Dept 1,2015/05/28,This Year
01 Luxuries,178727,02 Store B,Dept 1,2015/05/29,This Year
01 Luxuries,172873,02 Store B,Dept 1,2015/05/30,This Year
01 Luxuries,114754,02 Store B,Dept 1,2015/05/31,This Year
01 Luxuries,7584791,03 Store C,Dept 1,2014/03/01,Last Year
01 Luxuries,8990913,03 Store C,Dept 1,2014/03/02,Last Year
01 Luxuries,5519407,03 Store C,Dept 1,2014/03/03,Last Year
01 Luxuries,5441302,03 Store C,Dept 1,2014/03/04,Last Year
01 Luxuries,5907940,03 Store C,Dept 1,2014/03/05,Last Year
01 Luxuries,4829675,03 Store C,Dept 1,2014/03/06,Last Year
01 Luxuries,5712771,03 Store C,Dept 1,2014/03/07,Last Year
01 Luxuries,4395289,03 Store C,Dept 1,2014/03/08,Last Year
01 Luxuries,6467835,03 Store C,Dept 1,2014/03/09,Last Year
01 Luxuries,3307655,03 Store C,Dept 1,2014/03/10,Last Year
01 Luxuries,3180762,03 Store C,Dept 1,2014/03/11,Last Year
01 Luxuries,2867681,03 Store C,Dept 1,2014/03/12,Last Year
01 Luxuries,4819225,03 Store C,Dept 1,2014/03/13,Last Year
01 Luxuries,8262884,03 Store C,Dept 1,2014/03/14,Last Year
01 Luxuries,7215728,03 Store C,Dept 1,2014/03/15,Last Year
01 Luxuries,10130367,03 Store C,Dept 1,2014/03/16,Last Year
01 Luxuries,1894473,03 Store C,Dept 1,2014/03/17,Last Year
01 Luxuries,1950879,03 Store C,Dept 1,2014/03/18,Last Year
01 Luxuries,1925688,03 Store C,Dept 1,2014/03/19,Last Year
01 Luxuries,2835036,03 Store C,Dept 1,2014/03/20,Last Year
01 Luxuries,2917020,03 Store C,Dept 1,2014/03/21,Last Year
01 Luxuries,6359091,03 Store C,Dept 1,2014/03/22,Last Year
01 Luxuries,3775266,03 Store C,Dept 1,2014/03/23,Last Year
01 Luxuries,1895301,03 Store C,Dept 1,2014/03/24,Last Year
01 Luxuries,7124102,03 Store C,Dept 1,2014/03/25,Last Year
01 Luxuries,1755651,03 Store C,Dept 1,2014/03/26,Last Year
01 Luxuries,2494354,03 Store C,Dept 1,2014/03/27,Last Year
01 Luxuries,3587479,03 Store C,Dept 1,2014/03/28,Last Year
01 Luxuries,3729104,03 Store C,Dept 1,2014/03/29,Last Year
01 Luxuries,3477063,03 Store C,Dept 1,2014/03/30,Last Year
